# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jul 19 13:10:41 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 CH4 CO O3 N2O H2O Rayleigh CIA
1.000000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.67047e-13 1.17016e-46 1.82388e-70 0.00000e+00 2.40494e-35 9.99999e-01
1.010000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 5.15360e-14 2.17667e-47 1.03474e-71 0.00000e+00 5.39414e-34 9.99999e-01
1.020000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 9.94567e-15 4.04894e-48 5.87044e-73 0.00000e+00 1.04110e-32 9.99999e-01
1.030000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.91936e-15 7.53163e-49 3.33049e-74 0.00000e+00 1.74405e-31 9.99999e-01
1.040000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.92863e-16 1.40100e-49 1.08747e-76 0.00000e+00 2.55637e-30 9.99999e-01
1.050000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 8.04128e-17 2.60607e-50 2.58559e-79 0.00000e+00 3.30331e-29 9.99999e-01
1.060000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.64592e-17 4.84768e-51 6.14754e-82 0.00000e+00 3.78959e-28 9.99999e-01
1.070000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.36894e-18 9.01741e-52 1.46165e-84 0.00000e+00 3.88517e-27 9.99999e-01
1.080000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 6.89569e-19 1.67737e-52 7.07502e-84 0.00000e+00 3.58161e-26 9.99999e-01
1.090000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.26246e-16 1.48775e-53 3.14577e-78 0.00000e+00 2.98608e-25 9.99999e-01
1.100000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.31130e-14 6.29196e-55 1.39871e-72 0.00000e+00 2.26375e-24 9.99999e-01
1.110000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.23152e-12 2.27219e-71 6.21907e-67 0.00000e+00 1.56842e-23 9.99999e-01
1.120000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 1.38218e-318 7.74704e-10 4.00786e-72 2.76519e-61 0.00000e+00 9.97851e-23 9.99999e-01
1.130000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 6.60924e-305 1.41832e-07 1.60017e-70 4.29746e-73 0.00000e+00 5.85575e-22 9.99999e-01
1.140000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 1.43760e-307 2.03589e-06 5.46040e-53 2.06384e-63 0.00000e+00 3.18298e-21 9.99999e-01
1.150000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 2.75027e-319 2.92237e-05 4.76674e-36 1.27552e-48 0.00000e+00 1.60892e-20 9.99999e-01
1.160000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.19483e-04 8.25724e-32 1.38649e-33 0.00000e+00 7.59088e-20 9.99999e-01
1.170000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 6.02134e-03 4.54807e-47 4.23837e-34 0.00000e+00 3.35447e-19 9.99999e-01
1.180000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 6.61425e-153 0.00000e+00 8.64316e-02 1.67100e-46 1.26993e-138 0.00000e+00 1.39302e-18 9.99999e-01
1.190000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 8.78478e-55 0.00000e+00 5.28456e-02 6.16183e-59 1.68992e-15 0.00000e+00 5.45304e-18 9.99999e-01
1.200000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.39357e-89 0.00000e+00 3.23106e-02 3.40634e-87 4.72623e-09 0.00000e+00 2.01804e-17 9.99999e-01
1.210000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 2.20532e-156 0.00000e+00 1.97552e-02 1.98807e-130 3.74726e-08 0.00000e+00 7.07994e-17 9.99999e-01
1.220000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.72328e-250 6.91692e-323 1.20786e-02 5.01590e-158 5.18484e-09 0.00000e+00 2.36081e-16 9.99999e-01
1.230000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 2.96439e-322 7.38506e-03 2.63556e-124 9.56204e-15 0.00000e+00 7.50051e-16 9.99999e-01
1.240000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.51534e-03 1.41874e-63 8.94081e-36 0.00000e+00 2.27573e-15 9.99999e-01
1.250000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.62220e-03 3.78817e-41 2.07587e-73 0.00000e+00 6.60846e-15 9.99999e-01
1.260000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 5.82798e-04 3.65358e-31 1.83612e-135 0.00000e+00 1.84045e-14 9.99999e-01
1.270000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.09378e-04 5.60209e-28 3.81154e-208 0.00000e+00 4.92542e-14 9.99999e-01
1.280000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 7.52221e-05 9.42344e-31 2.46157e-260 0.00000e+00 1.26898e-13 9.99999e-01
1.290000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 4.43779e-316 2.70246e-05 2.48684e-36 1.69482e-259 0.00000e+00 3.15299e-13 9.99999e-01
1.300000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 1.62454e-302 9.70897e-06 2.73701e-58 7.02120e-212 0.00000e+00 7.56767e-13 9.99999e-01
1.310000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 4.38945e-277 3.48809e-06 1.31169e-75 6.72806e-150 0.00000e+00 1.75733e-12 9.99999e-01
