# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jul 19 13:13:45 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 CH4 CO O3 N2O H2O Rayleigh CIA
1.000000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.44016e-13 1.22621e-47 5.93651e-72 0.00000e+00 5.12602e-38 9.99999e-01
1.010000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.68345e-14 2.20056e-48 3.16803e-73 0.00000e+00 1.46161e-36 9.99999e-01
1.020000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 5.00009e-15 3.94913e-49 1.69062e-74 0.00000e+00 3.54488e-35 9.99999e-01
1.030000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 9.31669e-16 7.08713e-50 9.02205e-76 0.00000e+00 7.38113e-34 9.99999e-01
1.040000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.84354e-16 1.27186e-50 2.60730e-78 0.00000e+00 1.33096e-32 9.99999e-01
1.050000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.64789e-17 2.28248e-51 5.44963e-81 0.00000e+00 2.09529e-31 9.99999e-01
1.060000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 7.21825e-18 4.09614e-52 1.13905e-83 0.00000e+00 2.90170e-30 9.99999e-01
1.070000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.42831e-18 7.35095e-53 2.38079e-86 0.00000e+00 3.56016e-29 9.99999e-01
1.080000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.82626e-19 1.31920e-53 1.19183e-85 0.00000e+00 3.89561e-28 9.99999e-01
1.090000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 5.78245e-17 1.11115e-54 6.99326e-80 0.00000e+00 3.82532e-27 9.99999e-01
1.100000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.18307e-14 4.39265e-56 4.10341e-74 0.00000e+00 3.39061e-26 9.99999e-01
1.110000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.42053e-12 7.07434e-73 2.40775e-68 0.00000e+00 2.72758e-25 9.99999e-01
1.120000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.95234e-10 1.20249e-73 1.41279e-62 0.00000e+00 2.00166e-24 9.99999e-01
1.130000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.01323e-07 5.19385e-72 1.22942e-74 0.00000e+00 1.34651e-23 9.99999e-01
1.140000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.53945e-06 4.19286e-54 9.49860e-65 0.00000e+00 8.34058e-23 9.99999e-01
1.150000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.33896e-05 8.41091e-37 1.21380e-49 0.00000e+00 4.77744e-22 9.99999e-01
1.160000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.55369e-04 1.79416e-32 2.76112e-34 0.00000e+00 2.54064e-21 9.99999e-01
1.170000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 5.39929e-03 4.67083e-48 8.22981e-35 0.00000e+00 1.25913e-20 9.99999e-01
1.180000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 3.75526e-156 0.00000e+00 8.20338e-02 1.76440e-47 1.45408e-141 0.00000e+00 5.83605e-20 9.99999e-01
1.190000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 6.17680e-56 0.00000e+00 4.96332e-02 3.53298e-60 8.18073e-16 0.00000e+00 2.53824e-19 9.99999e-01
1.200000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.77386e-91 0.00000e+00 3.00297e-02 4.87546e-89 3.14008e-09 0.00000e+00 1.03915e-18 9.99999e-01
1.210000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.05553e-159 0.00000e+00 1.81690e-02 3.40427e-133 2.60206e-08 0.00000e+00 4.01640e-18 9.99999e-01
1.220000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 8.11228e-256 0.00000e+00 1.09928e-02 2.21463e-161 3.45158e-09 0.00000e+00 1.46970e-17 9.99999e-01
1.230000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 6.65101e-03 6.09609e-127 4.80319e-15 0.00000e+00 5.10501e-17 9.99999e-01
1.240000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.02408e-03 6.47763e-65 1.59891e-36 0.00000e+00 1.68741e-16 9.99999e-01
1.250000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.41448e-03 5.20328e-42 5.84719e-75 0.00000e+00 5.32017e-16 9.99999e-01
1.260000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.97198e-04 8.19448e-32 2.45534e-138 0.00000e+00 1.60352e-15 9.99999e-01
1.270000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.74768e-04 1.46926e-28 1.43568e-212 0.00000e+00 4.63001e-15 9.99999e-01
1.280000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 6.14316e-05 2.15670e-31 7.14514e-266 0.00000e+00 1.28325e-14 9.99999e-01
1.290000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.15935e-05 4.32754e-37 5.12618e-265 0.00000e+00 3.42040e-14 9.99999e-01
1.300000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 7.59022e-06 1.62002e-59 2.20147e-216 0.00000e+00 8.78329e-14 9.99999e-01
1.310000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.66800e-06 3.31640e-77 4.42787e-153 0.00000e+00 2.17662e-13 9.99999e-01
1.320000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 5.09830e-07 1.01324e-79 6.71411e-100 0.00000e+00 5.21372e-13 9.99999e-01
1.330000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 9.74239e-08 6.15261e-79 3.60809e-61 0.00000e+00 1.20896e-12 9.99999e-01
1.340000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.86168e-08 1.84170e-88 6.00673e-31 0.00000e+00 2.71768e-12 9.99999e-01
1.350000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.55751e-09 2.88430e-83 1.73385e-14 0.00000e+00 5.93061e-12 9.99999e-01
