# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Nov  9 07:29:35 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2 He CH4 H2O CO2 CO Rayleigh CIA
5.000000000e-01 8.79686e-01 9.99999e-01 9.99999e-01 9.99956e-01 9.99653e-01 9.99999e-01 9.99999e-01 8.80028e-01 9.99999e-01
5.025000000e-01 8.79650e-01 9.99999e-01 9.99999e-01 9.99912e-01 9.97134e-01 9.99999e-01 9.99999e-01 8.82255e-01 9.99999e-01
5.050125000e-01 8.79255e-01 9.99999e-01 9.99999e-01 9.99836e-01 9.94298e-01 9.99999e-01 9.99999e-01 8.84441e-01 9.99999e-01
5.075375625e-01 8.82284e-01 9.99999e-01 9.99999e-01 9.99697e-01 9.95445e-01 9.99999e-01 9.99999e-01 8.86589e-01 9.99999e-01
5.100752503e-01 8.87087e-01 9.99999e-01 9.99999e-01 9.99564e-01 9.98619e-01 9.99999e-01 9.99999e-01 8.88699e-01 9.99999e-01
5.126256266e-01 8.90334e-01 9.99999e-01 9.99999e-01 9.99810e-01 9.99695e-01 9.99999e-01 9.99999e-01 8.90773e-01 9.99999e-01
5.151887547e-01 8.92660e-01 9.99999e-01 9.99999e-01 9.99871e-01 9.99959e-01 9.99999e-01 9.99999e-01 8.92811e-01 9.99999e-01
5.177646985e-01 8.94658e-01 9.99997e-01 9.99999e-01 9.99853e-01 9.99974e-01 9.99999e-01 9.99999e-01 8.94812e-01 9.99999e-01
5.203535220e-01 8.96631e-01 9.99998e-01 9.99999e-01 9.99848e-01 9.99986e-01 9.99999e-01 9.99999e-01 8.96779e-01 9.99999e-01
5.229552896e-01 8.98406e-01 9.99998e-01 9.99999e-01 9.99816e-01 9.99844e-01 9.99999e-01 9.99999e-01 8.98711e-01 9.99999e-01
5.255700660e-01 9.00203e-01 9.99996e-01 9.99999e-01 9.99888e-01 9.99663e-01 9.99999e-01 9.99999e-01 9.00608e-01 9.99999e-01
5.281979164e-01 9.02119e-01 9.99993e-01 9.99999e-01 9.99919e-01 9.99694e-01 9.99999e-01 9.99999e-01 9.02473e-01 9.99999e-01
5.308389059e-01 9.03975e-01 9.99999e-01 9.99999e-01 9.99851e-01 9.99784e-01 9.99999e-01 9.99999e-01 9.04304e-01 9.99999e-01
5.334931005e-01 9.05727e-01 9.99996e-01 9.99999e-01 9.99681e-01 9.99906e-01 9.99999e-01 9.99999e-01 9.06102e-01 9.99998e-01
5.361605660e-01 9.07114e-01 9.99999e-01 9.99999e-01 9.99321e-01 9.99847e-01 9.99999e-01 9.99999e-01 9.07869e-01 9.99998e-01
5.388413688e-01 9.07600e-01 9.99999e-01 9.99999e-01 9.98326e-01 9.99470e-01 9.99999e-01 9.99999e-01 9.09604e-01 9.99998e-01
5.415355756e-01 9.05058e-01 9.99997e-01 9.99999e-01 9.96392e-01 9.96739e-01 9.99999e-01 9.99999e-01 9.11308e-01 9.99998e-01
5.442432535e-01 9.07400e-01 9.99999e-01 9.99999e-01 9.96405e-01 9.97472e-01 9.99999e-01 9.99999e-01 9.12981e-01 9.99998e-01
5.469644698e-01 9.12271e-01 9.99999e-01 9.99999e-01 9.99411e-01 9.98014e-01 9.99999e-01 9.99999e-01 9.14624e-01 9.99999e-01
5.496992921e-01 9.15528e-01 9.99999e-01 9.99999e-01 9.99956e-01 9.99267e-01 9.99999e-01 9.99999e-01 9.16238e-01 9.99999e-01
5.524477886e-01 9.17660e-01 9.99999e-01 9.99999e-01 9.99977e-01 9.99845e-01 9.99999e-01 9.99999e-01 9.17822e-01 9.99999e-01
5.552100275e-01 9.19251e-01 9.99999e-01 9.99999e-01 9.99914e-01 9.99946e-01 9.99999e-01 9.99999e-01 9.19378e-01 9.99999e-01
5.579860777e-01 9.20769e-01 9.99999e-01 9.99999e-01 9.99889e-01 9.99960e-01 9.99999e-01 9.99999e-01 9.20906e-01 9.99999e-01
5.607760081e-01 9.22203e-01 9.99999e-01 9.99999e-01 9.99914e-01 9.99863e-01 9.99999e-01 9.99999e-01 9.22406e-01 9.99999e-01
5.635798881e-01 9.23647e-01 9.99999e-01 9.99999e-01 9.99888e-01 9.99859e-01 9.99999e-01 9.99999e-01 9.23879e-01 9.99999e-01
5.663977875e-01 9.24721e-01 9.99999e-01 9.99999e-01 9.99772e-01 9.99574e-01 9.99999e-01 9.99999e-01 9.25325e-01 9.99999e-01
5.692297765e-01 9.20623e-01 9.99999e-01 9.99999e-01 9.99555e-01 9.93836e-01 9.99999e-01 9.99999e-01 9.26744e-01 9.99999e-01
5.720759254e-01 9.23922e-01 9.99999e-01 9.99999e-01 9.99269e-01 9.96185e-01 9.99999e-01 9.99999e-01 9.28138e-01 9.99999e-01
5.749363050e-01 9.25153e-01 9.99999e-01 9.99999e-01 9.98679e-01 9.96632e-01 9.99999e-01 9.99999e-01 9.29506e-01 9.99999e-01
5.778109865e-01 9.28257e-01 9.99999e-01 9.99999e-01 9.98872e-01 9.98339e-01 9.99999e-01 9.99999e-01 9.30849e-01 9.99999e-01
